"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\actions\[id]\page.tsx", "TypeScript JSX", 105, 0, 0, 0, 7, 112
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\actions\page.tsx", "TypeScript JSX", 70, 0, 0, 0, 5, 75
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\catalog\[id]\page.tsx", "TypeScript JSX", 293, 0, 0, 0, 15, 308
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\catalog\page.tsx", "TypeScript JSX", 419, 0, 0, 0, 19, 438
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\deliveries\page.tsx", "TypeScript JSX", 8, 0, 0, 0, 2, 10
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\docs\history\[id]\page.tsx", "TypeScript JSX", 111, 0, 0, 0, 8, 119
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\docs\new\[id]\page.tsx", "TypeScript JSX", 129, 0, 0, 0, 7, 136
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\docs\page.tsx", "TypeScript JSX", 213, 0, 0, 0, 5, 218
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\globals.css", "CSS", 0, 0, 44, 0, 14, 58
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\layout.tsx", "TypeScript JSX", 48, 0, 0, 0, 4, 52
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\news\[id]\page.tsx", "TypeScript JSX", 81, 0, 0, 0, 8, 89
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\news\page.tsx", "TypeScript JSX", 76, 0, 0, 0, 5, 81
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\app\page.tsx", "TypeScript JSX", 132, 0, 0, 0, 7, 139
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\ActionBanner.tsx", "TypeScript JSX", 44, 0, 0, 0, 5, 49
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\ActionTab.tsx", "TypeScript JSX", 20, 0, 0, 0, 3, 23
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\DocBanner.tsx", "TypeScript JSX", 32, 0, 0, 0, 2, 34
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\FilterCategory.tsx", "TypeScript JSX", 85, 0, 0, 0, 9, 94
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\Help.tsx", "TypeScript JSX", 24, 0, 0, 0, 3, 27
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\Navbar.tsx", "TypeScript JSX", 86, 0, 0, 0, 8, 94
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\NewsBanner.tsx", "TypeScript JSX", 38, 0, 0, 0, 2, 40
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\Notification.tsx", "TypeScript JSX", 19, 0, 0, 0, 4, 23
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\PostTab.tsx", "TypeScript JSX", 27, 0, 0, 0, 3, 30
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\ProductQntPicker.tsx", "TypeScript JSX", 41, 0, 0, 0, 8, 49
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\Settings.tsx", "TypeScript JSX", 19, 0, 0, 0, 3, 22
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\UI\Button.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\UI\Input.tsx", "TypeScript JSX", 13, 0, 0, 0, 4, 17
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\UI\Pagination.tsx", "TypeScript JSX", 33, 0, 0, 0, 5, 38
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\UI\ReadMoreButton.tsx", "TypeScript JSX", 26, 0, 0, 0, 3, 29
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\components\UI\Tab.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\helpers\classList.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\helpers\concatStr.ts", "TypeScript", 0, 8, 0, 0, 0, 8
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\helpers\dateDiff.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Users\Иван Забурдаев\Desktop\Rosar-L\rosar-l\src\helpers\parseDate.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"Total", "-", 2220, 18, 44, 0, 173, 2455